,Year,Month,Day,Rainfall_Bogra,Rainfall_Faridpur,Rainfall_Rajshahi,Rainfall_Rangpur,Rainfall_Tangail,Rainfall_sydpur,Date,flood_duration,sentinel_visit,total_rainfall,flood,Cumulative_Rainfall_Bogra_2days,Cumulative_Rainfall_Faridpur_2days,Cumulative_Rainfall_Rajshahi_2days,Cumulative_Rainfall_Rangpur_2days,Cumulative_Rainfall_Tangail_2days,Cumulative_Rainfall_sydpur_2days,Cumulative_Rainfall_Bogra_3days,Cumulative_Rainfall_Faridpur_3days,Cumulative_Rainfall_Rajshahi_3days,Cumulative_Rainfall_Rangpur_3days,Cumulative_Rainfall_Tangail_3days,Cumulative_Rainfall_sydpur_3days,Cumulative_Rainfall_Bogra_5days,Cumulative_Rainfall_Faridpur_5days,Cumulative_Rainfall_Rajshahi_5days,Cumulative_Rainfall_Rangpur_5days,Cumulative_Rainfall_Tangail_5days,Cumulative_Rainfall_sydpur_5days,week_of_year,flood_coverage,flood_coverage_bool
Year,1.0,,,,,,,,,0.940280995564517,,,,,,,,,,,,,,,,,,,,,,,,,
Month,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.969110766683018,,
Day,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rainfall_Bogra,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rainfall_Faridpur,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rainfall_Rajshahi,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rainfall_Rangpur,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rainfall_Tangail,,,,,,,,1.0,,,,,,,,,,,0.8507184794381465,,,,,,,,,,,,,,,,
Rainfall_sydpur,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
Date,0.940280995564517,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
flood_duration,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
sentinel_visit,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,
total_rainfall,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,
flood,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
Cumulative_Rainfall_Bogra_2days,,,,,,,,,,,,,,,1.0,,,,,,0.8932439146861323,,,,,,,,,,,,,,
Cumulative_Rainfall_Faridpur_2days,,,,,,,,,,,,,,,,1.0,,,,,,0.8921363300697592,,,,,,,,,,,,,
Cumulative_Rainfall_Rajshahi_2days,,,,,,,,,,,,,,,,,1.0,,,,,,0.8857717365489365,,,,,,,,,,,,
Cumulative_Rainfall_Rangpur_2days,,,,,,,,,,,,,,,,,,1.0,,,,,,0.9182944238141793,,,,,,,,,,,
Cumulative_Rainfall_Tangail_2days,,,,,,,,0.8507184794381465,,,,,,,,,,,1.0,,,,,,0.9165960056333169,,,,,,,,,,
Cumulative_Rainfall_sydpur_2days,,,,,,,,,,,,,,,,,,,,1.0,,,,,,0.9121745736719014,,,,,,,,,
Cumulative_Rainfall_Bogra_3days,,,,,,,,,,,,,,,0.8932439146861323,,,,,,1.0,,,,,,0.8604397566778859,,,,,,,,
Cumulative_Rainfall_Faridpur_3days,,,,,,,,,,,,,,,,0.8921363300697592,,,,,,1.0,,,,,,0.8523170743116206,,,,,,,
Cumulative_Rainfall_Rajshahi_3days,,,,,,,,,,,,,,,,,0.8857717365489365,,,,,,1.0,,,,,,,,,,,,
Cumulative_Rainfall_Rangpur_3days,,,,,,,,,,,,,,,,,,0.9182944238141793,,,,,,1.0,,,,,,0.8879247322428881,,,,,
Cumulative_Rainfall_Tangail_3days,,,,,,,,,,,,,,,,,,,0.9165960056333169,,,,,,1.0,,,,,,0.8704127071737973,,,,
Cumulative_Rainfall_sydpur_3days,,,,,,,,,,,,,,,,,,,,0.9121745736719014,,,,,,1.0,,,,,,0.8799526104519614,,,
Cumulative_Rainfall_Bogra_5days,,,,,,,,,,,,,,,,,,,,,0.8604397566778859,,,,,,1.0,,,,,,,,
Cumulative_Rainfall_Faridpur_5days,,,,,,,,,,,,,,,,,,,,,,0.8523170743116206,,,,,,1.0,,,,,,,
Cumulative_Rainfall_Rajshahi_5days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,
Cumulative_Rainfall_Rangpur_5days,,,,,,,,,,,,,,,,,,,,,,,,0.8879247322428881,,,,,,1.0,,,,,
Cumulative_Rainfall_Tangail_5days,,,,,,,,,,,,,,,,,,,,,,,,,0.8704127071737973,,,,,,1.0,,,,
Cumulative_Rainfall_sydpur_5days,,,,,,,,,,,,,,,,,,,,,,,,,,0.8799526104519614,,,,,,1.0,,,
week_of_year,,0.969110766683018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,
flood_coverage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.9087442821811331
flood_coverage_bool,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9087442821811331,1.0
